lead_id,conversion_date,conversion_value,conversion_type
lead_000005,2024-12-17 08:49:08.440819,1496.76,Demo
lead_000007,2024-12-09 05:37:08.440819,2308.86,Subscription
lead_000008,2024-12-26 06:15:08.440819,5007.03,Purchase
lead_000010,2025-01-03 13:26:08.440819,1720.04,Purchase
lead_000014,2024-12-28 14:52:08.440819,9055.81,Subscription
lead_000020,2024-12-07 18:14:08.440819,3106.59,Demo
lead_000021,2024-12-23 12:04:08.440819,5925.6,Subscription
lead_000023,2024-12-18 05:38:08.440819,7941.46,Purchase
lead_000044,2024-12-16 03:52:08.440819,1296.91,Trial
lead_000046,2024-12-30 02:39:08.440819,8027.24,Purchase
lead_000047,2024-12-28 23:35:08.440819,7829.98,Trial
lead_000052,2024-12-22 19:23:08.440819,5913.75,Purchase
lead_000053,2024-12-08 17:42:08.440819,7046.68,Purchase
lead_000055,2024-12-21 04:43:08.440819,5687.26,Purchase
lead_000057,2024-12-17 03:15:08.440819,5105.04,Subscription
lead_000059,2024-12-20 13:49:08.440819,7038.72,Purchase
lead_000066,2025-01-01 05:21:08.440819,4122.3,Demo
lead_000072,2024-12-15 14:03:08.440819,4195.34,Trial
lead_000083,2025-01-04 10:53:08.440819,6270.52,Demo
lead_000084,2024-12-20 12:38:08.440819,5638.77,Demo
lead_000088,2025-01-01 11:01:08.440819,9126.14,Purchase
lead_000089,2024-12-12 14:11:08.440819,2778.27,Subscription
lead_000095,2024-12-26 21:00:08.440819,4299.02,Demo
lead_000096,2025-01-03 03:27:08.440819,2720.65,Subscription
lead_000099,2025-01-01 23:55:08.440819,6901.53,Trial
lead_000103,2025-01-08 23:29:08.440819,2616.26,Trial
lead_000106,2024-12-19 18:53:08.440819,3176.77,Subscription
lead_000107,2024-12-12 08:32:08.440819,9785.08,Subscription
lead_000108,2025-01-01 02:18:08.440819,5431.54,Purchase
lead_000111,2025-01-08 02:14:08.440819,1329.56,Purchase
lead_000113,2024-12-27 20:16:08.440819,5961.98,Trial
lead_000115,2024-12-24 04:34:08.440819,8966.51,Demo
lead_000119,2025-01-08 14:11:08.440819,4265.32,Purchase
lead_000121,2025-01-09 07:13:08.440819,6082.07,Purchase
lead_000123,2024-12-25 01:11:08.440819,2125.96,Subscription
lead_000126,2024-12-23 11:02:08.440819,8378.87,Trial
lead_000131,2025-01-10 03:18:08.440819,4064.38,Purchase
lead_000133,2025-01-03 22:55:08.440819,1865.05,Subscription
lead_000135,2025-01-12 22:30:08.440819,2428.98,Trial
lead_000138,2024-12-30 07:00:08.440819,4975.55,Trial
lead_000139,2025-01-03 20:20:08.440819,3943.84,Subscription
lead_000146,2024-12-16 21:03:08.440819,2850.0,Trial
lead_000147,2024-12-21 06:31:08.440819,9557.2,Demo
lead_000148,2024-12-29 20:16:08.440819,1870.49,Demo
lead_000150,2024-12-27 22:01:08.440819,2633.3,Trial
lead_000154,2025-01-09 15:00:08.440819,5940.22,Subscription
lead_000155,2025-01-06 15:34:08.440819,6489.62,Trial
